title,community,model,area,price,ave,time,link,longitude,latitude
东昌新村，光线充足，小户型，上门实拍,东昌新村,1室1厅,33平,6000,181,2017.08.05上架,http://sh.lianjia.com/zufang/shz4139621.html,121.51825,31.23831918
上南二村，享受好房，实地看房，低区出入方便,上南二村,1室0厅,29平,4600,158,2017.08.05上架,http://sh.lianjia.com/zufang/shz4139551.html,121.501829,31.182348
好房待租，出行方便，小户型，看房客户多,金桥新村四街坊（博兴路986弄）,1室1厅,42平,4000,95,2017.08.05上架,http://sh.lianjia.com/zufang/shz4138297.html,121.597263,31.27067103
看房有钥匙，精致户型，好房好心情，空气清新,牡丹小区（浦东）,2室1厅,73平,7000,95,2017.08.04上架,http://sh.lianjia.com/zufang/shz4137393.html,121.5520389,31.21342712
东方城市花园，2室2厅1卫，好楼层，多次带看,东方城市花园（二期）,2室2厅,117平,10000,85,2017.08.03上架,http://sh.lianjia.com/zufang/shz4135060.html,121.528449,31.20458
2室1厅1卫，看房客户多，放心好房，钥匙在链家,博山小区,2室1厅,63平,4500,71,2017.08.03上架,http://sh.lianjia.com/zufang/shz4133761.html,121.561216,31.25253
近地铁，上下楼方便，精致户型，最近看房多,万邦都市花园,2室1厅,82平,6500,79,2017.08.02上架,http://sh.lianjia.com/zufang/shz4132503.html,121.559261,31.207145
有爱有家，出行方便，看房客户多，上门实勘,临沂八村,2室2厅,57平,5300,92,2017.08.01上架,http://sh.lianjia.com/zufang/shz4130225.html,121.521992,31.203131
享受好房，看房有钥匙，改善住房，高清实拍,世茂滨江花园,3室2厅,237平,26000,109,2017.07.31上架,http://sh.lianjia.com/zufang/shz4129343.html,121.520399,31.227414
蓝高小区，交通方便，最近看房多，好房待租,蓝高小区,2室0厅,39平,4500,115,2017.07.31上架,http://sh.lianjia.com/zufang/shz4129248.html,121.536618,31.217388
近地铁，适合自住，享受好房，受欢迎好房,品华苑,2室1厅,68平,5000,73,2017.07.31上架,http://sh.lianjia.com/zufang/shz4127879.html,121.5271233,31.1457274
最近看房多，钥匙房，1室1厅1卫，放心好房,新领地,1室1厅,48平,5200,108,2017.07.30上架,http://sh.lianjia.com/zufang/shz4127120.html,121.556841,31.209192
金桂小区，生活很便利，多次带看，有钥匙房源,金桂小区,1室1厅,42平,6800,161,2017.07.30上架,http://sh.lianjia.com/zufang/shz4125495.html,121.5564311,31.21352868
附近有地铁，有爱有家，上下楼方便，钥匙房,德州四村,1室0厅,31平,3300,106,2017.07.29上架,http://sh.lianjia.com/zufang/shz4125368.html,121.492301,31.175519
金桥湾清水苑，2室1厅1卫，采光棒，最近看房多,金桥湾清水苑,2室1厅,68平,4700,69,2017.07.29上架,http://sh.lianjia.com/zufang/shz4124626.html,121.5998803,31.26590419
新领地，附近有地铁，一室小户型，钥匙在店,新领地,1室1厅,53平,4500,84,2017.07.28上架,http://sh.lianjia.com/zufang/shz4122870.html,121.556841,31.209192
低区出入方便，高清大图，钥匙在链家，交通便利,梅园三街坊,1室1厅,27平,4500,166,2017.07.28上架,http://sh.lianjia.com/zufang/shz4122861.html,121.5305678,31.23972158
南泉小区，闹中取静，链家房源，链家有钥匙,南泉小区,1室1厅,35平,3300,94,2017.07.27上架,http://sh.lianjia.com/zufang/shz4121105.html,121.5292505,31.21939613
潍坊五村，高清照片，有钥匙房源，交通方便,潍坊五村,1室0厅,36平,4300,119,2017.07.27上架,http://sh.lianjia.com/zufang/shz4120855.html,121.530556,31.226228
嘉屯苑，上门实拍，1室1厅1卫，一链倾城,嘉屯苑,1室1厅,55平,3500,63,2017.07.30上架,http://sh.lianjia.com/zufang/shz4120320.html,121.5858964,31.29023928
万科金色雅筑，放心好房，南北直通，光线充足,万科金色雅筑,3室2厅,89平,7500,84,2017.07.26上架,http://sh.lianjia.com/zufang/shz4117547.html,121.5248736,31.14983971
潍坊四村，高区阳光房，放心好房，多次带看,潍坊四村,1室0厅,33平,4200,127,2017.07.25上架,http://sh.lianjia.com/zufang/shz4116757.html,121.530817,31.224111
杨思路502弄，地铁沿线，好房好心情，好楼层,杨思路502弄,2室1厅,54平,4000,74,2017.07.24上架,http://sh.lianjia.com/zufang/shz4115027.html,121.5012605,31.16681792
竹园高层，放心好房，钥匙在店，看房客户多,竹园高层,1室1厅,64平,6200,96,2017.07.24上架,http://sh.lianjia.com/zufang/shz4114980.html,121.537486,31.235864
享受好房，受欢迎好房，钥匙在店，近地铁,梅园新村（浦东）,1室1厅,31平,4500,145,2017.07.23上架,http://sh.lianjia.com/zufang/shz4113038.html,121.529064,31.242789
看房客户多，一室小户型，近地铁，空气清新,久阳滨江公寓,1室1厅,78平,10000,128,2017.07.23上架,http://sh.lianjia.com/zufang/shz4112848.html,121.523797,31.228404
梅花新村，生活很便利，实地看房，好房好心情,梅花新村（花木）,2室1厅,72平,5400,75,2017.07.23上架,http://sh.lianjia.com/zufang/shz4112621.html,121.553987,31.208897
凌兆新村，有钥匙房源，一链倾城，低楼层,凌兆新村,2室1厅,73平,4200,57,2017.07.21上架,http://sh.lianjia.com/zufang/shz4108615.html,121.4997321,31.15107711
地铁沿线，受欢迎好房，简约二室，看房有钥匙,毕加索小镇（一期）（公寓）,2室2厅,93平,4000,43,2017.07.20上架,http://sh.lianjia.com/zufang/shz4105864.html,121.653788,31.221435
万邦都市花园，出行方便，看房有钥匙，一链倾城,万邦都市花园,2室1厅,76平,8100,106,2017.07.19上架,http://sh.lianjia.com/zufang/shz4105470.html,121.559261,31.207145
视野开阔，链家好房，两室户，最近看房多,金杨四街坊,2室1厅,50平,4500,90,2017.07.19上架,http://sh.lianjia.com/zufang/shz4105379.html,121.578972,31.24942342
天池二村，有钥匙方便看，链家房源，1室1厅,天池二村,1室1厅,35平,3200,91,2017.07.19上架,http://sh.lianjia.com/zufang/shz4103944.html,121.549245,31.190442
南北户型，上下楼方便，真实在租，地铁沿线,金地未未来,1室1厅,65平,4500,69,2017.07.19上架,http://sh.lianjia.com/zufang/shz4103801.html,121.5934244,31.31238769
新领地，温馨一室，钥匙房，好楼层,新领地,1室1厅,48平,5000,104,2017.07.18上架,http://sh.lianjia.com/zufang/shz4102624.html,121.556841,31.209192
新领地，钥匙在链家，温馨一室，最近看房多,新领地,1室1厅,46平,4600,100,2017.07.18上架,http://sh.lianjia.com/zufang/shz4102421.html,121.556841,31.209192
香榭丽花园，地铁沿线，看房有钥匙，实地看房,香榭丽花园,2室2厅,114平,13500,118,2017.07.17上架,http://sh.lianjia.com/zufang/shz4101847.html,121.542131,31.23323
有钥匙方便看，高清实拍，一室小户型，地铁沿线,临沂六村,1室1厅,40平,4200,105,2017.07.17上架,http://sh.lianjia.com/zufang/shz4101553.html,121.518163,31.199051
南北户型，近地铁，好房好心情，1室1厅1卫,香楠小区,1室1厅,41平,4000,97,2017.07.17上架,http://sh.lianjia.com/zufang/shz4101061.html,121.6193856,31.22197164
绿洲康城亲水湾，如您所见，改善住房，看房有钥匙,绿洲康城亲水湾（中央区）,3室2厅,139平,8000,57,2017.07.17上架,http://sh.lianjia.com/zufang/shz4100889.html,121.590724,31.158247
桃林一小区，有钥匙房源，受欢迎好房，链家好房,桃林一小区,2室1厅,59平,5000,84,2017.07.16上架,http://sh.lianjia.com/zufang/shz4099648.html,121.549623,31.234018
南杨小区，1室1厅1卫，看房方便，高清实拍,南杨小区（长清路）,1室1厅,41平,4000,97,2017.07.16上架,http://sh.lianjia.com/zufang/shz4099002.html,121.498509,31.165334
梅园五街坊，看房方便，看房客户多，简约二室,梅园五街坊,2室1厅,62平,6200,100,2017.07.16上架,http://sh.lianjia.com/zufang/shz4098860.html,121.5351162,31.23799506
多次带看，附近有地铁，链家房源，光线非常好,黄山始信苑,2室1厅,68平,5200,76,2017.07.16上架,http://sh.lianjia.com/zufang/shz4098518.html,121.577387,31.260691
崮山小区四街坊，近地铁，精致户型，最近看房多,崮山小区四街坊,2室0厅,50平,5000,100,2017.07.15上架,http://sh.lianjia.com/zufang/shz4097842.html,121.570175,31.245246
德州四村，采光好，如您所见，出行方便,德州四村,1室0厅,35平,3500,100,2017.07.15上架,http://sh.lianjia.com/zufang/shz4097622.html,121.492301,31.175519
看房客户多，1室1厅，好房待租，视野开阔,梅园三街坊,1室1厅,31平,4600,148,2017.07.15上架,http://sh.lianjia.com/zufang/shz4097219.html,121.5305678,31.23972158
附近有地铁，链家有钥匙，光线非常好，享受好房,金杨新村五街坊,1室1厅,48平,3700,77,2017.07.15上架,http://sh.lianjia.com/zufang/shz4096587.html,121.583639,31.251299
南北户型，出行方便，2室1厅1卫，链家房源,古桐六村,2室1厅,116平,4600,39,2017.07.14上架,http://sh.lianjia.com/zufang/shz4095821.html,121.617674,31.207133
上下楼方便，2室2厅1卫，链家房源，最近看房多,海尚乐苑,2室2厅,79平,2600,32,2017.07.14上架,http://sh.lianjia.com/zufang/shz4095774.html,121.6094,31.121799
链家有钥匙，实地看房，光线充足，生活很便利,万邦都市花园,2室1厅,75平,8000,106,2017.07.13上架,http://sh.lianjia.com/zufang/shz4093236.html,121.559261,31.207145
最近看房多，高清大图，放心好房，闹中取静,凌兆新村（上浦路69弄）,2室1厅,52平,4300,82,2017.07.13上架,http://sh.lianjia.com/zufang/shz4092496.html,121.4967614,31.15063417
陆家嘴花园，有钥匙，空气清新，人气房源,陆家嘴花园（二期）,3室2厅,148平,16500,111,2017.07.12上架,http://sh.lianjia.com/zufang/shz4091780.html,121.548948,31.236296
看房方便，1室2厅，放心好房，地铁沿线,浦发绿城,1室2厅,51平,3300,64,2017.07.12上架,http://sh.lianjia.com/zufang/shz4091525.html,121.548636,31.156052
精致户型，链家房源，有钥匙方便看，受欢迎好房,地杰国际城（E欧泊时光）,2室2厅,90平,5800,64,2017.07.10上架,http://sh.lianjia.com/zufang/shz4087778.html,121.579176,31.162636
潍坊九村，生活很便利，简约二室，实地看房,潍坊九村,2室1厅,52平,6000,115,2017.07.10上架,http://sh.lianjia.com/zufang/shz4087401.html,121.5333359,31.2270147
宁阳小区，小户型，生活很便利，人气房源,宁阳小区,1室0厅,32平,3500,109,2017.07.09上架,http://sh.lianjia.com/zufang/shz4086516.html,121.5225921,31.21796129
海阳新村，上门实拍，链家有钥匙，采光好,海阳新村,3室1厅,74平,5200,70,2017.07.09上架,http://sh.lianjia.com/zufang/shz4086290.html,121.500592,31.159638
永泰花苑，地铁沿线，多次带看，链家好房,永泰花苑,2室1厅,72平,5000,69,2017.07.09上架,http://sh.lianjia.com/zufang/shz4086042.html,121.524177,31.143716
看房方便，温馨一室，交通便利，上门实拍,凌兆新村（上浦路165弄）,1室1厅,51平,4000,78,2017.07.09上架,http://sh.lianjia.com/zufang/shz4085660.html,121.4987322,31.15116325
有爱有家，1室1厅1卫，地铁沿线，光线棒,潍坊九村,1室1厅,40平,4500,112,2017.07.08上架,http://sh.lianjia.com/zufang/shz4083651.html,121.5333359,31.2270147
受欢迎好房，生活很便利，一室小户型，有爱有家,开发浦东,1室1厅,50平,5600,112,2017.07.08上架,http://sh.lianjia.com/zufang/shz4083298.html,121.524557,31.230854
城市经典，受欢迎好房，出行方便，简约二室,城市经典（四期）,2室2厅,64平,7600,118,2017.07.07上架,http://sh.lianjia.com/zufang/shz4082039.html,121.625689,31.220596
采光好，实地看房，钥匙房，3房出租,浦东世纪花园（公寓）,3室2厅,182平,25000,137,2017.07.07上架,http://sh.lianjia.com/zufang/shz4081918.html,121.562603,31.216895
梅园三街坊，一室小户型，放心好房，光线充足,梅园三街坊,1室1厅,30平,5000,166,2017.07.07上架,http://sh.lianjia.com/zufang/shz4081299.html,121.5305678,31.23972158
牡丹小区，两室户，有爱有家，低楼层,牡丹小区（浦东）,2室1厅,70平,7000,100,2017.07.07上架,http://sh.lianjia.com/zufang/shz4081251.html,121.5520389,31.21342712
出行方便，南北直通，多次带看，1室1厅1卫,嘉屯苑,1室1厅,50平,3500,70,2017.07.07上架,http://sh.lianjia.com/zufang/shz4080841.html,121.5858964,31.29023928
联洋年华，钥匙房，看房客户多，地铁沿线,联洋年华,2室2厅,113平,11000,97,2017.07.07上架,http://sh.lianjia.com/zufang/shz4080448.html,121.561114,31.232919
博山小区，精致户型，高清照片，链家好房,博山小区,2室1厅,63平,4500,71,2017.07.06上架,http://sh.lianjia.com/zufang/shz4078719.html,121.561216,31.25253
崮山小区二街坊，实地看房，享受好房，近地铁,崮山小区二街坊,2室0厅,50平,5200,104,2017.07.06上架,http://sh.lianjia.com/zufang/shz4078668.html,121.567062,31.247871
中芯花园，交通方便，光线棒，3室2厅,中芯花园（公寓）,3室2厅,125平,9000,72,2017.07.05上架,http://sh.lianjia.com/zufang/shz4077419.html,121.625275,31.223134
西邱小区，一链倾城，温馨之家，受欢迎好房,西邱小区,1室1厅,37平,3700,100,2017.07.05上架,http://sh.lianjia.com/zufang/shz4077005.html,121.5217159,31.212967
享受好房，有钥匙方便看，视野很好，实地看房,上海绿城,2室2厅,108平,10800,100,2017.07.05上架,http://sh.lianjia.com/zufang/shz4076590.html,121.539738,31.211494
万邦都市花园，多次带看，生活很便利，上下楼方便,万邦都市花园,1室2厅,53平,6200,116,2017.07.04上架,http://sh.lianjia.com/zufang/shz4074285.html,121.559261,31.207145
中新家园，低区出入方便，实地看房，交通便利,中新家园,2室1厅,85平,6800,80,2017.07.03上架,http://sh.lianjia.com/zufang/shz4073811.html,121.556138,31.238703
南北户型，近地铁，有钥匙房源，多次带看,竹园新村（浦东）,2室1厅,53平,5800,109,2017.07.03上架,http://sh.lianjia.com/zufang/shz4073719.html,121.537868,31.233427
链家房源，实地看房，高区景观好，有钥匙,宁阳小区,1室0厅,28平,4500,160,2017.07.03上架,http://sh.lianjia.com/zufang/shz4072839.html,121.5225921,31.21796129
实地看房，光线充足，有爱有家，钥匙房,上海绿城,3室2厅,139平,12500,89,2017.07.02上架,http://sh.lianjia.com/zufang/shz4071809.html,121.539738,31.211494
梅花新村，看房客户多，钥匙在链家，2室1厅,梅花新村（花木）,2室1厅,68平,6000,88,2017.07.02上架,http://sh.lianjia.com/zufang/shz4071508.html,121.553987,31.208897
交通便利，闹中取静，链家有钥匙，多次带看,绿洲康城亲水湾（中央区）,1室2厅,67平,4500,67,2017.07.02上架,http://sh.lianjia.com/zufang/shz4071020.html,121.590724,31.158247
东方城市花园，精致户型，地铁沿线，人气房源,东方城市花园（二期）,2室2厅,122平,12000,98,2017.07.02上架,http://sh.lianjia.com/zufang/shz4070584.html,121.528449,31.20458
采光好，近地铁，2室1厅1卫，真实在租,南杨小区（长清路）,2室1厅,55平,4600,83,2017.07.02上架,http://sh.lianjia.com/zufang/shz4070575.html,121.498509,31.165334
简约二室，交通方便，受欢迎好房，视野很好,竹园新村（浦东）,2室1厅,54平,5800,107,2017.07.01上架,http://sh.lianjia.com/zufang/shz4068110.html,121.537868,31.233427
陆家嘴花园，多次带看，2室0厅1卫，空气清新,陆家嘴花园（一期）,2室0厅,87平,9000,103,2017.06.29上架,http://sh.lianjia.com/zufang/shz4065098.html,121.54842438518,31.237858529952
3房出租，空气清新，链家好房，多次带看,东方城市花园（二期）,3室2厅,153平,13500,88,2017.06.29上架,http://sh.lianjia.com/zufang/shz4063150.html,121.528449,31.20458
高清大图，钥匙在店，简约二室，生活很便利,世茂滨江花园,2室2厅,125平,23000,184,2017.07.12上架,http://sh.lianjia.com/zufang/shz4060979.html,121.520399,31.227414
崮山小区二街坊，光线充足，多次带看，一链倾城,崮山小区二街坊,1室1厅,45平,4000,88,2017.06.27上架,http://sh.lianjia.com/zufang/shz4059563.html,121.567062,31.247871
大华锦绣华城，地铁沿线，受欢迎好房，链家房源,大华锦绣华城（二街区）,2室1厅,78平,6200,79,2017.06.26上架,http://sh.lianjia.com/zufang/shz4058046.html,121.533269,31.187226
绿洲康城亲水湾，近地铁，实地看房，2室2厅,绿洲康城亲水湾（中央区）,2室2厅,89平,5500,61,2017.06.25上架,http://sh.lianjia.com/zufang/shz4057390.html,121.590724,31.158247
地杰国际城，有钥匙方便看，一室小户型，最近看房多,地杰国际城（D街坊）,1室1厅,56平,4300,76,2017.06.25上架,http://sh.lianjia.com/zufang/shz4056621.html,121.581511,31.167047
泉东小区，一室小户型，真实在租，低区出入方便,泉东小区,1室0厅,33平,3800,115,2017.06.24上架,http://sh.lianjia.com/zufang/shz4054734.html,121.5279232,31.23366364
低楼层，享受好房，高清照片，出行方便,牡丹路186弄,2室1厅,66平,7000,106,2017.06.24上架,http://sh.lianjia.com/zufang/shz4054150.html,121.552323,31.212528
好房好心情，精致户型，链家有钥匙，实地看房,菊园,2室2厅,100平,13000,130,2017.06.23上架,http://sh.lianjia.com/zufang/shz4052852.html,121.519739,31.233867
泉东，视野开阔，人气房源，高清实拍,泉东（二）小区,2室1厅,44平,6000,136,2017.06.18上架,http://sh.lianjia.com/zufang/shz4051184.html,121.52627,31.231159
交通方便，看房客户多，3室2厅2卫，高清大图,陆家嘴花园（一期）,3室2厅,121平,12200,100,2017.06.08上架,http://sh.lianjia.com/zufang/shz4051182.html,121.54842438518,31.237858529952
附近有地铁，上门实拍，温馨一室，链家房源,塘桥小区,1室0厅,28平,3600,128,2017.06.11上架,http://sh.lianjia.com/zufang/shz4051170.html,121.5280138,31.21645882
文兰小区，视野很好，多次带看，2室1厅,文兰小区,2室1厅,52平,5200,100,2017.06.22上架,http://sh.lianjia.com/zufang/shz4048514.html,121.532806,31.217629
看房方便，交通方便，3房出租，空气清新,申江豪城,3室2厅,126平,8500,67,2017.06.21上架,http://sh.lianjia.com/zufang/shz4046460.html,121.506637,31.16972
中新家园，有钥匙方便看，受欢迎好房，链家房源,中新家园,2室2厅,74平,7900,106,2017.06.20上架,http://sh.lianjia.com/zufang/shz4045782.html,121.556138,31.238703
有钥匙方便看，交通方便，空气清新，2室1厅,绿地御桥苑,2室1厅,67平,4900,73,2017.06.19上架,http://sh.lianjia.com/zufang/shz4044792.html,121.574887,31.160644
梅园四街坊，如您所见，链家有钥匙，两室户,梅园四街坊,2室0厅,49平,5500,112,2017.06.19上架,http://sh.lianjia.com/zufang/shz4044017.html,121.532544,31.238222
世茂滨江花园，出行方便，钥匙在链家，多次带看,世茂滨江花园,1室2厅,88平,15000,170,2017.06.18上架,http://sh.lianjia.com/zufang/shz4043063.html,121.520399,31.227414
光线充足，一室小户型，地铁沿线，高清大图,金杨七街坊,1室1厅,49平,3100,63,2017.06.18上架,http://sh.lianjia.com/zufang/shz4042438.html,121.586328,31.254526
如您所见，出行方便，2室2厅，空气清新,海苑大厦,2室2厅,90平,6500,72,2017.06.18上架,http://sh.lianjia.com/zufang/shz4042236.html,121.551553,31.241955
张江汤臣豪园，适合自住，好房好心情，实地看房,张江汤臣豪园（三期）,2室2厅,89平,9000,101,2017.06.18上架,http://sh.lianjia.com/zufang/shz4042177.html,121.604429,31.205076
培花久远公寓，两室户，看房有钥匙，光线充足,培花久远公寓,2室1厅,65平,5000,76,2017.06.18上架,http://sh.lianjia.com/zufang/shz4042110.html,121.5667793,31.20231336
万邦都市花园，改善住房，享受好房，附近有地铁,万邦都市花园,3室2厅,110平,9500,86,2017.06.18上架,http://sh.lianjia.com/zufang/shz4041306.html,121.559261,31.207145
高清大图，生活很便利，视野很好，好房好心情,华沙一村,2室1厅,75平,3800,50,2017.06.17上架,http://sh.lianjia.com/zufang/shz4040933.html,121.7004649,31.19752736
香梅花园，好房好心情，1室2厅1卫，链家有钥匙,香梅花园,1室2厅,63平,9500,150,2017.06.17上架,http://sh.lianjia.com/zufang/shz4040434.html,121.544671,31.217388
南杨小区，2室1厅，一链倾城，有钥匙房源,南杨小区（长清路）,2室1厅,64平,4500,70,2017.06.17上架,http://sh.lianjia.com/zufang/shz4040067.html,121.498509,31.165334
上门实拍，有爱有家，改善住房，有钥匙房源,江临天下,3室2厅,135平,15500,114,2017.06.17上架,http://sh.lianjia.com/zufang/shz4039968.html,121.518117,31.232224
光线充足，附近有地铁，一室小户型，好房待租,中远行家,1室1厅,50平,5000,100,2017.06.17上架,http://sh.lianjia.com/zufang/shz4039669.html,121.5359157,31.21060033
两室户，交通方便，一链倾城，采光棒,新领地,2室2厅,105平,7500,71,2017.06.17上架,http://sh.lianjia.com/zufang/shz4039061.html,121.556841,31.209192
竹园高层，受欢迎好房，一链倾城，看房有钥匙,竹园高层,2室1厅,62平,7000,112,2017.06.17上架,http://sh.lianjia.com/zufang/shz4038645.html,121.537486,31.235864
低楼层，出行方便，小户型，最近看房多,金杨二街坊,1室1厅,44平,4200,95,2017.06.17上架,http://sh.lianjia.com/zufang/shz4038491.html,121.5833587,31.25573131
东三里桥路160弄，出行方便，最近看房多，视野开阔,东三里桥路160弄,2室1厅,47平,4700,100,2017.06.15上架,http://sh.lianjia.com/zufang/shz4035183.html,121.5174005,31.20527914
高区采光好，交通便利，受欢迎好房，放心好房,崮山小区四街坊,2室0厅,50平,4500,90,2017.06.15上架,http://sh.lianjia.com/zufang/shz4034539.html,121.570175,31.245246
出行方便，受欢迎好房，一链倾城，链家有钥匙,浦东世纪花园（公寓）,3室2厅,179平,18500,103,2017.06.14上架,http://sh.lianjia.com/zufang/shz4033377.html,121.562603,31.216895
链家房源，两室户，地铁沿线，实地看房,桃林小区,2室2厅,107平,7800,72,2017.06.14上架,http://sh.lianjia.com/zufang/shz4032958.html,121.552138,31.237232
上门实拍，有钥匙方便看，真实在租，最近看房多,云台二小区,1室1厅,47平,4500,95,2017.06.12上架,http://sh.lianjia.com/zufang/shz4030008.html,121.514875,31.182086
潍坊六村，适合自住，好房待租，交通便利,潍坊六村,2室0厅,45平,5500,122,2017.06.12上架,http://sh.lianjia.com/zufang/shz4029327.html,121.52945,31.228007
实地看房，好房好心情，钥匙在店，改善住房,菊园,3室2厅,155平,14500,93,2017.06.12上架,http://sh.lianjia.com/zufang/shz4029260.html,121.519739,31.233867
汇豪天下，出行方便，舒适三室，多次带看,汇豪天下,3室2厅,145平,18000,124,2017.06.11上架,http://sh.lianjia.com/zufang/shz4027663.html,121.516454,31.232879
光线棒，附近有地铁，适合自住，享受好房,梅园三街坊,2室1厅,61平,7000,114,2017.06.11上架,http://sh.lianjia.com/zufang/shz4026434.html,121.5305678,31.23972158
阳光花城，看房方便，好房待租，交通便利,阳光花城,2室2厅,97平,8500,87,2017.06.11上架,http://sh.lianjia.com/zufang/shz4026335.html,121.629006,31.212499
人气房源，采光好，1室1厅1卫，好房好心情,崮山小区一街坊,1室1厅,45平,4200,93,2017.06.10上架,http://sh.lianjia.com/zufang/shz4025802.html,121.568745,31.245794
高清实拍，有爱有家，实地看房，交通方便,梅园五街坊,2室1厅,52平,6200,119,2017.06.10上架,http://sh.lianjia.com/zufang/shz4025077.html,121.5351162,31.23799506
上海绿城，南北通，钥匙房，受欢迎好房,上海绿城,3室2厅,134平,13000,97,2017.06.10上架,http://sh.lianjia.com/zufang/shz4023765.html,121.539738,31.211494
看房方便，2室2厅，受欢迎好房，交通方便,毕加索小镇（一期）（公寓）,2室2厅,93平,6000,64,2017.06.09上架,http://sh.lianjia.com/zufang/shz4021280.html,121.653788,31.221435
大唐盛世花园，空气清新，人气房源，真实在租,大唐盛世花园,2室2厅,97平,11000,113,2017.06.08上架,http://sh.lianjia.com/zufang/shz4019136.html,121.566444,31.213217
好楼层，交通便利，享受好房，看房有钥匙,南杨小区（长清路）,2室1厅,55平,4500,81,2017.06.06上架,http://sh.lianjia.com/zufang/shz4015881.html,121.498509,31.165334
高区景观房，上门实拍，两室户，人气房源,盛世年华,2室2厅,85平,11000,129,2017.06.06上架,http://sh.lianjia.com/zufang/shz4015524.html,121.545231,31.234402
放心好房，南北通透，链家有钥匙，2室2厅1卫,天安花园,2室2厅,102平,11000,107,2017.06.06上架,http://sh.lianjia.com/zufang/shz4015029.html,121.561415,31.228874
中芯花园，放心好房，有钥匙方便看，实地看房,中芯花园（公寓）,3室2厅,125平,10000,80,2017.06.06上架,http://sh.lianjia.com/zufang/shz4014984.html,121.625275,31.223134
博山小区，钥匙在链家，受欢迎好房，好房待租,博山小区,2室1厅,66平,5200,78,2017.06.05上架,http://sh.lianjia.com/zufang/shz4013081.html,121.561216,31.25253
链家好房，人气房源，小户型，看房有钥匙,盛世年华,1室1厅,85平,11500,135,2017.06.04上架,http://sh.lianjia.com/zufang/shz4010183.html,121.545231,31.234402
香榭丽花园，人气房源，交通便利，精致户型,香榭丽花园,2室2厅,114平,12500,109,2017.06.03上架,http://sh.lianjia.com/zufang/shz4008619.html,121.542131,31.23323
出行方便，看房方便，最近看房多，南北户型,潍坊九村,2室1厅,51平,6200,121,2017.06.02上架,http://sh.lianjia.com/zufang/shz4004289.html,121.5333359,31.2270147
看房方便，受欢迎好房，好楼层，温馨之家,金杨新村九街坊,1室1厅,47平,3600,76,2017.06.02上架,http://sh.lianjia.com/zufang/shz4003957.html,121.587021,31.260023
中芯花园，看房客户多，钥匙在链家，近地铁,中芯花园（公寓）,2室2厅,101平,9000,89,2017.06.01上架,http://sh.lianjia.com/zufang/shz4003320.html,121.625275,31.223134
建华公寓，人气房源，适合自住，地铁沿线,建华公寓,2室1厅,81平,7000,86,2017.05.31上架,http://sh.lianjia.com/zufang/shz4000289.html,121.556762,31.215745
好房待租，实地看房，简约二室，看房有钥匙,日月光水岸花园（公寓）,2室2厅,90平,7700,85,2017.05.31上架,http://sh.lianjia.com/zufang/shz3999464.html,121.630351,31.219919
